"","gutenberg_id","text"
"223",16,"each other's nose, and so forth. On these magic shores children at play"
"224",16,"are for ever beaching their coracles [simple boat]. We too have been"
"225",16,"there; we can still hear the sound of the surf, though we shall land no"
"226",16,"more."
"227",16,""
"228",16,"Of all delectable islands the Neverland is the snuggest and most"
"229",16,"compact, not large and sprawly, you know, with tedious distances between"
"230",16,"one adventure and another, but nicely crammed. When you play at it by"
"231",16,"day with the chairs and table-cloth, it is not in the least alarming,"
"232",16,"but in the two minutes before you go to sleep it becomes very real. That"
"233",16,"is why there are night-lights."
"234",16,""
"235",16,"Occasionally in her travels through her children's minds Mrs. Darling"
"236",16,"found things she could not understand, and of these quite the most"
"237",16,"perplexing was the word Peter. She knew of no Peter, and yet he was"
"238",16,"here and there in John and Michael's minds, while Wendy's began to be"
"239",16,"scrawled all over with him. The name stood out in bolder letters than"
"240",16,"any of the other words, and as Mrs. Darling gazed she felt that it had"
"241",16,"an oddly cocky appearance."
"242",16,""
"243",16,"""Yes, he is rather cocky,"" Wendy admitted with regret. Her mother had"
"244",16,"been questioning her."
"245",16,""
"246",16,"""But who is he, my pet?"""
"247",16,""
"248",16,"""He is Peter Pan, you know, mother."""
"249",16,""
"250",16,"At first Mrs. Darling did not know, but after thinking back into her"
"251",16,"childhood she just remembered a Peter Pan who was said to live with the"
"252",16,"fairies. There were odd stories about him, as that when children died he"
"253",16,"went part of the way with them, so that they should not be frightened."
"254",16,"She had believed in him at the time, but now that she was married and"
"255",16,"full of sense she quite doubted whether there was any such person."
"256",16,""
"257",16,"""Besides,"" she said to Wendy, ""he would be grown up by this time."""
"258",16,""
"259",16,"""Oh no, he isn't grown up,"" Wendy assured her confidently, ""and he is"
"260",16,"just my size."" She meant that he was her size in both mind and body; she"
"261",16,"didn't know how she knew, she just knew it."
"262",16,""
"263",16,"Mrs. Darling consulted Mr. Darling, but he smiled pooh-pooh. ""Mark my"
"264",16,"words,"" he said, ""it is some nonsense Nana has been putting into their"
"265",16,"heads; just the sort of idea a dog would have. Leave it alone, and it"
"266",16,"will blow over."""
"267",16,""
"268",16,"But it would not blow over and soon the troublesome boy gave Mrs."
"269",16,"Darling quite a shock."
"270",16,""
"271",16,"Children have the strangest adventures without being troubled by them."
"272",16,"For instance, they may remember to mention, a week after the event"
"273",16,"happened, that when they were in the wood they had met their dead"
"274",16,"father and had a game with him. It was in this casual way that Wendy one"
"275",16,"morning made a disquieting revelation. Some leaves of a tree had been"
"276",16,"found on the nursery floor, which certainly were not there when the"
"277",16,"children went to bed, and Mrs. Darling was puzzling over them when Wendy"
"278",16,"said with a tolerant smile:"
"279",16,""
"280",16,"""I do believe it is that Peter again!"""
"281",16,""
"282",16,"""Whatever do you mean, Wendy?"""
"283",16,""
"284",16,"""It is so naughty of him not to wipe his feet,"" Wendy said, sighing. She"
"285",16,"was a tidy child."
"286",16,""
"287",16,"She explained in quite a matter-of-fact way that she thought Peter"
"288",16,"sometimes came to the nursery in the night and sat on the foot of her"
"289",16,"bed and played on his pipes to her. Unfortunately she never woke, so she"
"290",16,"didn't know how she knew, she just knew."
"291",16,""
"292",16,"""What nonsense you talk, precious. No one can get into the house without"
"293",16,"knocking."""
